ILT_ILTCode,ILT_niveau,ILT_toev,ILT_NiveauIndex,ILT_Element_Opleidingsnaam,ILT_Element_Onderwijstype_Leerjaar,ILT_Element_LWOOIndicatie,ILT_Element_VMBOSector,ILT_Element_Afdeling,ILT_Element_RuimteALG,ILT_Element_RuimteSPEC,ILT_Element_RuimteGyml
2654,LWOO,Basisbg,1,LWOO Basisbg Lw LWT Ec Cons,VMBO BL lj 3-4,J,Economie,Consumptief,5.85,3.06,1.26
2661,LWOO,Basisbg,1,LWOO Basisbg Lw LWT Ec CB-ISP,VMBO BL lj 3-4,J,Economie,Consumptief Breed -ISP,5.85,3.06,1.26
2662,LWOO,Basisbg,1,LWOO Basisbg Lw LWT Ec HA-ISP,VMBO BL lj 3-4,J,Economie,Handel en Administratie -ISP,5.85,3.06,1.57
2671,LWOO,Basisbg,1,,,,,,,,
2681,LWOO,Basisbg,1,,,,,,,,
2711,VMBO,Gemengde,3,,,,,,,,
2712,VMBO,Gemengde,3,VMBO Gemengde Lw Tech Metaal,VMBO GL lj 3-4,N,Techniek,Metaaltechniek,5.98,5.47,1.11
2713,VMBO,Gemengde,3,VMBO Gemengde Lw Tech Elektro,VMBO GL lj 3-4,N,Techniek,Elektrotechniek,5.98,5.47,1.11
2714,VMBO,Gemengde,3,,,,,,,,
2715,VMBO,Gemengde,3,,,,,,,,
2716,VMBO,Gemengde,3,VMBO Gemengde Lw Grafimedia,VMBO GL lj 3-4,N,Techniek,Grafische media,5.98,5.47,1.11
2717,VMBO,Gemengde,3,,,,,,,,
2718,VMBO,Gemengde,3,,,,,,,,
2719,VMBO,Gemengde,3,,,,,,,,
2720,VMBO,Gemengde,3,,,,,,,,
2721,VMBO,Gemengde,3,,,,,,,,
2722,VMBO,Gemengde,3,,,,,,,,
2723,VMBO,Gemengde,3,,,,,,,,
2731,VMBO,Gemengde,3,VMBO Gemengde Lw ZrgWlz Vz Alg,VMBO GL lj 3-4,N,Zorg & Welzijn,Verzorging,5.33,2.1,1.11
2732,VMBO,Gemengde,3,,,,,,,,
2741,VMBO,Gemengde,3,VMBO Gemengde Lw ZrgWlz ZW-ISP,VMBO GL lj 3-4,N,Zorg & Welzijn,Zorg en Welzijn -ISP,5.33,2.1,1.11
2751,VMBO,Gemengde,3,VMBO Gemengde Lw Ec Admin,VMBO GL lj 3-4,N,Economie,Administratie,5.95,0.89,1.11
2752,VMBO,Gemengde,3,,,,,,,,
2753,VMBO,Gemengde,3,,,,,,,,
2754,VMBO,Gemengde,3,,,,,,,,
2761,VMBO,Gemengde,3,,,,,,,,
2762,VMBO,Gemengde,3,VMBO Gemengde Lw Ec HA-ISP,VMBO GL lj 3-4,N,Economie,Handel en Administratie -ISP,5.95,0.89,1.11
2771,VMBO,Gemengde,3,,,,,,,,
2781,VMBO,Gemengde,3,VMBO Gemengde Lw Landb LB-ISP,VMBO GL lj 3-4,N,Landbouw,Landbouw Breed -ISP,5.94,0.78,1.11
2811,VMBO,Kaderbg,2,VMBO Kaderbg Lw Tech Bouw,VMBO KL lj 3-4,N,Techniek,Bouwtechniek,4.69,8.99,1.38
2812,VMBO,Kaderbg,2,VMBO Kaderbg Lw Tech Metaal,VMBO KL lj 3-4,N,Techniek,Metaaltechniek,4.69,8.99,1.38
2813,VMBO,Kaderbg,2,VMBO Kaderbg Lw Tech Elektro,VMBO KL lj 3-4,N,Techniek,Elektrotechniek,4.69,8.99,1.38
2814,VMBO,Kaderbg,2,VMBO Kaderbg Lw Tech Vrtgn,VMBO KL lj 3-4,N,Techniek,Voertuigentechniek,4.69,8.99,1.38
2815,VMBO,Kaderbg,2,VMBO Kaderbg Lw Tech Instal,VMBO KL lj 3-4,N,Techniek,Installatietechniek,4.69,8.99,1.38
2816,VMBO,Kaderbg,2,VMBO Kaderbg Lw Grafimedia,VMBO KL lj 3-4,N,Techniek,Grasfische media,4.69,8.99,1.38
2817,VMBO,Kaderbg,2,VMBO Kaderbg Lw Tech T & L,VMBO KL lj 3-4,N,Techniek,Transport en Logistiek,4.69,8.99,1.38
2818,VMBO,Kaderbg,2,,,,,,,,
2819,VMBO,Kaderbg,2,,,,,,,,
2820,VMBO,Kaderbg,2,,,,,,,,
2821,VMBO,Kaderbg,2,,,,,,,,
2822,VMBO,Kaderbg,2,,,,,,,,
2823,VMBO,Kaderbg,2,,,,,,,,
2831,VMBO,Kaderbg,2,VMBO Kaderbg Lw ZrgWlz Vz Alg,VMBO KL lj 3-4,N,Zorg & Welzijn,Verzorging,4.71,4.22,1.38
2832,VMBO,Kaderbg,2,VMBO Kaderbg Lw ZrgWlz Uit Vz,VMBO KL lj 3-4,N,Zorg & Welzijn,Uiterlijke Verzorging,4.71,4.22,1.38
2841,VMBO,Kaderbg,2,VMBO Kaderbg Lw ZrgWlz ZW-ISP,VMBO KL lj 3-4,N,Zorg & Welzijn,Zorg en Welzijn -ISP,4.71,4.22,1.38
2851,VMBO,Kaderbg,2,VMBO Kaderbg Lw Ec Admin,VMBO KL lj 3-4,N,Economie,Administratie,5.56,2.25,1.38
2852,VMBO,Kaderbg,2,,,,,,,,
2853,VMBO,Kaderbg,2,,,,,,,,
2854,VMBO,Kaderbg,2,VMBO Kaderbg Lw Ec Cons,VMBO KL lj 3-4,N,Economie,Consumptief,5.56,2.25,1.38
2861,VMBO,Kaderbg,2,VMBO Kaderbg Lw Ec CB-ISP,VMBO KL lj 3-4,N,Economie,Consumptief Breed -ISP,5.56,2.25,1.38
2862,VMBO,Kaderbg,2,VMBO Kaderbg Lw Ec HA-ISP,VMBO KL lj 3-4,N,Economie,Handel en Administratie -ISP,5.56,2.25,1.38
2871,VMBO,Kaderbg,2,,,,,,,,
2881,VMBO,Kaderbg,2,VMBO Kaderbg Lw Landb LB-ISP,VMBO KL lj 3-4,N,Landbouw,Landbouw Breed -ISP,5.37,2.34,1.38
2911,VMBO,Basisbg,1,VMBO Basisbg Lw Tech Bouw,VMBO BL lj 3-4,N,Techniek,Bouwtechniek,4.69,8.99,1.38
2912,VMBO,Basisbg,1,VMBO Basisbg Lw Tech Metaal,VMBO BL lj 3-4,N,Techniek,Metaaltechniek,4.69,8.99,1.38
2913,VMBO,Basisbg,1,VMBO Basisbg Lw Tech Elektro,VMBO BL lj 3-4,N,Techniek,Elektrotechniek,4.69,8.99,1.38
2914,VMBO,Basisbg,1,VMBO Basisbg Lw Tech Vrtgn,VMBO BL lj 3-4,N,Techniek,Voertuigentechniek,4.69,8.99,1.38
2915,VMBO,Basisbg,1,VMBO Basisbg Lw Tech Instal,VMBO BL lj 3-4,N,Techniek,Installatietechniek,4.69,8.99,1.38
2916,VMBO,Basisbg,1,,,,,,,,
2917,VMBO,Basisbg,1,VMBO Basisbg Lw Tech T & L,VMBO BL lj 3-4,N,Techniek,Transport en Logistiek,4.69,8.99,1.38
2918,VMBO,Basisbg,1,,,,,,,,
2919,VMBO,Basisbg,1,,,,,,,,
2920,VMBO,Basisbg,1,,,,,,,,
2921,VMBO,Basisbg,1,,,,,,,,
2922,VMBO,Basisbg,1,,,,,,,,
2923,VMBO,Basisbg,1,,,,,,,,
2931,VMBO,Basisbg,1,VMBO Basisbg Lw ZrgWlz Vz Alg,VMBO BL lj 3-4,N,Zorg & Welzijn,Verzorging,4.71,4.22,1.38
2932,VMBO,Basisbg,1,VMBO Basisbg Lw ZrgWlz Uit Vz,VMBO BL lj 3-4,N,Zorg & Welzijn,Uiterlijke Verzorging,4.71,4.22,1.38
2941,VMBO,Basisbg,1,VMBO Basisbg Lw ZrgWlz ZW-ISP,VMBO BL lj 3-4,N,Zorg & Welzijn,Zorg en Welzijn -ISP,4.71,4.22,1.38
2951,VMBO,Basisbg,1,VMBO Basisbg Lw Ec Admin,VMBO BL lj 3-4,N,Economie,Administratie,5.56,2.25,1.38
2952,VMBO,Basisbg,1,,,,,,,,
2953,VMBO,Basisbg,1,,,,,,,,
2954,VMBO,Basisbg,1,VMBO Basisbg Lw Ec Cons,VMBO BL lj 3-4,N,Economie,Consumptief,5.56,2.25,1.38
2961,VMBO,Basisbg,1,VMBO Basisbg Lw Ec CB-ISP,VMBO BL lj 3-4,N,Economie,Consumptief Breed -ISP,5.56,2.25,1.38
2962,VMBO,Basisbg,1,VMBO Basisbg Lw Ec HA-ISP,VMBO BL lj 3-4,N,Economie,Handel en Administratie -ISP,5.56,2.25,1.38
2971,VMBO,Basisbg,1,,,,,,,,
2981,VMBO,Basisbg,1,VMBO Basisbg Lw Landb LB-ISP,VMBO BL lj 3-4,N,Landbouw,Landbouw Breed -ISP,5.37,2.34,1.38
