PrognLL_Brin,PrognLL_ImportJaar,PrognLL_PrognoseJaar,PrognLL_AantalLL,PrognLL_InvoerWie,PrognLL_InvoerWanneer
13CW00,2011,2014,176,eneheuvel,23-09-11
13CW00,2011,2015,171,eneheuvel,23-09-11
13CW00,2011,2016,169,eneheuvel,23-09-11
13IF00,2010,2010,149,eneheuvel,23-09-11
13IF00,2011,2011,161,eneheuvel,23-09-11
13IF00,2011,2012,157,eneheuvel,23-09-11
13IF00,2011,2017,149,eneheuvel,23-09-11
13IF00,2011,2018,147,eneheuvel,23-09-11
13IF00,2011,2019,150,eneheuvel,23-09-11
13IF00,2011,2020,151,eneheuvel,23-09-11
13IF00,2011,2025,154,eneheuvel,23-09-11
13IF00,2011,2030,152,eneheuvel,23-09-11
13IF00,2011,2035,150,eneheuvel,23-09-11
13IF00,2011,2013,158,eneheuvel,23-09-11
13IF00,2011,2014,156,eneheuvel,23-09-11
13IF00,2011,2015,151,eneheuvel,23-09-11
13IF00,2011,2016,150,eneheuvel,23-09-11
13IU00,2010,2010,176,eneheuvel,23-09-11
13IU00,2011,2011,151,eneheuvel,23-09-11
13IU00,2011,2012,149,eneheuvel,23-09-11
13IU00,2011,2017,148,eneheuvel,23-09-11
13IU00,2011,2018,150,eneheuvel,23-09-11
13IU00,2011,2019,149,eneheuvel,23-09-11
13IU00,2011,2020,150,eneheuvel,23-09-11
13IU00,2011,2025,154,eneheuvel,23-09-11
13IU00,2011,2030,180,eneheuvel,23-09-11
13IU00,2011,2035,210,eneheuvel,23-09-11
13IU00,2011,2013,146,eneheuvel,23-09-11
13IU00,2011,2014,145,eneheuvel,23-09-11
13IU00,2011,2015,144,eneheuvel,23-09-11
13IU00,2011,2016,147,eneheuvel,23-09-11
13NH00,2010,2010,283,eneheuvel,23-09-11
13NH00,2011,2011,286,eneheuvel,23-09-11
13NH00,2011,2012,295,eneheuvel,23-09-11
13NH00,2011,2017,261,eneheuvel,23-09-11
13NH00,2011,2018,254,eneheuvel,23-09-11
13NH00,2011,2019,258,eneheuvel,23-09-11
13NH00,2011,2020,259,eneheuvel,23-09-11
13NH00,2011,2025,265,eneheuvel,23-09-11
13NH00,2011,2030,268,eneheuvel,23-09-11
13NH00,2011,2035,275,eneheuvel,23-09-11
13NH00,2011,2013,293,eneheuvel,23-09-11
13NH00,2011,2014,291,eneheuvel,23-09-11
13NH00,2011,2015,281,eneheuvel,23-09-11
13NH00,2011,2016,274,eneheuvel,23-09-11
13NU00,2010,2010,283,eneheuvel,23-09-11
13NU00,2011,2011,250,eneheuvel,23-09-11
13NU00,2011,2012,240,eneheuvel,23-09-11
13NU00,2011,2017,254,eneheuvel,23-09-11
13NU00,2011,2018,260,eneheuvel,23-09-11
13NU00,2011,2019,263,eneheuvel,23-09-11
13NU00,2011,2020,263,eneheuvel,23-09-11
13NU00,2011,2025,262,eneheuvel,23-09-11
13NU00,2011,2030,259,eneheuvel,23-09-11
13NU00,2011,2035,259,eneheuvel,23-09-11
13NU00,2011,2013,239,eneheuvel,23-09-11
13NU00,2011,2014,239,eneheuvel,23-09-11
13NU00,2011,2015,242,eneheuvel,23-09-11
13NU00,2011,2016,246,eneheuvel,23-09-11
14QC00,2010,2010,533,eneheuvel,23-09-11
14QC00,2011,2011,557,eneheuvel,23-09-11
14QC00,2011,2012,565,eneheuvel,23-09-11
14QC00,2011,2017,489,eneheuvel,23-09-11
14QC00,2011,2018,476,eneheuvel,23-09-11
14QC00,2011,2019,479,eneheuvel,23-09-11
14QC00,2011,2020,485,eneheuvel,23-09-11
14QC00,2011,2025,490,eneheuvel,23-09-11
14QC00,2011,2030,484,eneheuvel,23-09-11
14QC00,2011,2035,477,eneheuvel,23-09-11
14QC00,2011,2013,565,eneheuvel,23-09-11
14QC00,2011,2014,553,eneheuvel,23-09-11
14QC00,2011,2015,531,eneheuvel,23-09-11
14QC00,2011,2016,508,eneheuvel,23-09-11
14QC02,2010,2010,71,eneheuvel,23-09-11
14QC02,2011,2011,76,eneheuvel,23-09-11
14QC02,2011,2012,80,eneheuvel,23-09-11
14QC02,2011,2017,73,eneheuvel,23-09-11
14QC02,2011,2018,69,eneheuvel,23-09-11
14QC02,2011,2019,69,eneheuvel,23-09-11
14QC02,2011,2020,69,eneheuvel,23-09-11
14QC02,2011,2025,67,eneheuvel,23-09-11
14QC02,2011,2030,66,eneheuvel,23-09-11
14QC02,2011,2035,66,eneheuvel,23-09-11
14QC02,2011,2013,80,eneheuvel,23-09-11
14QC02,2011,2014,79,eneheuvel,23-09-11
14QC02,2011,2015,78,eneheuvel,23-09-11
14QC02,2011,2016,76,eneheuvel,23-09-11
15SJ00,2010,2010,319,eneheuvel,23-09-11
15ZL00,2010,2010,181,eneheuvel,23-09-11
15ZL01,2010,2010,171,eneheuvel,23-09-11
15ZL01,2011,2011,167,eneheuvel,23-09-11
15ZL01,2011,2012,172,eneheuvel,23-09-11
15ZL01,2011,2017,168,eneheuvel,23-09-11
15ZL01,2011,2018,167,eneheuvel,23-09-11
15ZL01,2011,2019,167,eneheuvel,23-09-11
15ZL01,2011,2020,166,eneheuvel,23-09-11
15ZL01,2011,2025,165,eneheuvel,23-09-11
15ZL01,2011,2030,164,eneheuvel,23-09-11
15ZL01,2011,2035,165,eneheuvel,23-09-11
15ZL01,2011,2013,171,eneheuvel,23-09-11
